source_ip,destination_ip,protocol,bytes,packets,label
192.168.1.10,10.0.0.5,TCP,0.0,0.0025575447570332505,0
192.168.1.11,10.0.0.8,TCP,0.006122448979591837,0.0076726342710997444,0
192.168.1.12,10.0.0.2,UDP,0.012244897959183678,0.015345268542199489,0
192.168.1.13,10.0.0.9,TCP,0.5918367346938775,0.7442455242966753,1
192.168.1.14,10.0.0.5,UDP,0.016326530612244903,0.023017902813299233,0
192.168.1.15,10.0.0.3,TCP,0.00816326530612245,0.0051150895140664975,0
192.168.1.16,10.0.0.8,TCP,0.7959183673469388,0.8721227621483377,1
192.168.1.17,10.0.0.2,UDP,0.004081632653061225,0.010230179028132995,0
192.168.1.18,10.0.0.9,TCP,0.7142857142857143,0.6930946291560104,1
192.168.1.19,10.0.0.5,UDP,0.010204081632653062,0.01790281329923274,0
192.168.1.20,10.0.0.3,TCP,0.0020408163265306124,0.0,0
192.168.1.21,10.0.0.8,TCP,1.0,1.0,1
192.168.1.10,10.0.0.5,TCP,0.009934283060224654,0.007396790188353933,0
192.168.1.11,10.0.0.8,TCP,0.003357162956168144,-0.030592970622056216,0
192.168.1.12,10.0.0.2,UDP,0.025198668721197526,-0.01915308810806117,0
192.168.1.13,10.0.0.9,TCP,0.6222973318220381,0.7329997737118559,1
192.168.1.14,10.0.0.5,UDP,0.011643463117778183,0.002761280406610757,0
192.168.1.15,10.0.0.3,TCP,0.0034805261671388386,0.011400036165971975,0
192.168.1.16,10.0.0.8,TCP,0.8275026236570866,0.8539622806379135,1
192.168.1.17,10.0.0.2,UDP,0.0194303272361194,-0.018015894998572837,0
192.168.1.18,10.0.0.9,TCP,0.7048962265670152,0.7224076045344414,1
192.168.1.19,10.0.0.5,UDP,0.021055282504372358,0.013387287289502026,0
192.168.1.20,10.0.0.3,TCP,-0.007227537529718633,0.0013505640937584767,0
192.168.1.21,10.0.0.8,TCP,0.9906854049285949,0.9715050362757308,1
