source_ip,destination_ip,protocol,bytes,packets,label
192.168.1.10,10.0.0.5,TCP,0.0,0.0025575447570332,0
192.168.1.11,10.0.0.8,TCP,0.0061224489795918,0.0076726342710997,0
192.168.1.12,10.0.0.2,UDP,0.0122448979591836,0.0153452685421994,0
192.168.1.13,10.0.0.9,TCP,0.5918367346938775,0.7442455242966753,1
192.168.1.14,10.0.0.5,UDP,0.0163265306122449,0.0230179028132992,0
192.168.1.15,10.0.0.3,TCP,0.0081632653061224,0.0051150895140664,0
192.168.1.16,10.0.0.8,TCP,0.7959183673469388,0.8721227621483377,1
192.168.1.17,10.0.0.2,UDP,0.0040816326530612,0.0102301790281329,0
192.168.1.18,10.0.0.9,TCP,0.7142857142857143,0.6930946291560104,1
192.168.1.19,10.0.0.5,UDP,0.010204081632653,0.0179028132992327,0
192.168.1.20,10.0.0.3,TCP,0.0020408163265306,0.0,0
192.168.1.21,10.0.0.8,TCP,1.0,1.0,1
192.168.1.10,10.0.0.5,TCP,0.0099342830602246,0.0073967901883539,0
192.168.1.11,10.0.0.8,TCP,0.0033571629561681,-0.0305929706220562,0
192.168.1.12,10.0.0.2,UDP,0.0251986687211975,-0.0191530881080611,0
192.168.1.13,10.0.0.9,TCP,0.6222973318220381,0.7329997737118559,1
192.168.1.14,10.0.0.5,UDP,0.0116434631177781,0.0027612804066107,0
192.168.1.15,10.0.0.3,TCP,0.0034805261671388,0.0114000361659719,0
192.168.1.16,10.0.0.8,TCP,0.8275026236570866,0.8539622806379135,1
192.168.1.17,10.0.0.2,UDP,0.0194303272361194,-0.0180158949985728,0
192.168.1.18,10.0.0.9,TCP,0.7048962265670152,0.7224076045344414,1
192.168.1.19,10.0.0.5,UDP,0.0210552825043723,0.013387287289502,0
192.168.1.20,10.0.0.3,TCP,-0.0072275375297186,0.0013505640937584,0
192.168.1.21,10.0.0.8,TCP,0.9906854049285948,0.9715050362757308,1
,,,25000.0,400.0,1
,,,30000.0,500.0,1
